national_poke_num,name,type_one,type_two,generation,total_points,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed
208,Steelix,STEEL,GROUND,2,510,75,85,200,55,65,30
209,Snubbull,FAIRY,,2,300,60,80,50,40,40,30
210,Granbull,FAIRY,,2,450,90,120,75,60,60,45
211,Qwilfish,WATER,POISON,2,430,65,95,75,55,55,85
212,Scizor (Mega Scizor),BUG,STEEL,2,600,70,150,140,65,100,75
212,Scizor,BUG,STEEL,2,500,70,130,100,55,80,65
213,Shuckle,BUG,ROCK,2,505,20,10,230,10,230,5
214,Heracross,BUG,FIGHTING,2,500,80,125,75,40,95,85
214,Heracross (Mega Heracross),BUG,FIGHTING,2,600,80,185,115,40,105,75
215,Sneasel,DARK,ICE,2,430,55,95,55,35,75,115
216,Teddiursa,NORMAL,,2,330,60,80,50,50,50,40
217,Ursaring,NORMAL,,2,500,90,130,75,75,75,55
218,Slugma,FIRE,,2,250,40,40,40,70,40,20
219,Magcargo,FIRE,ROCK,2,410,50,50,120,80,80,30
220,Swinub,ICE,GROUND,2,250,50,50,40,30,30,50
221,Piloswine,ICE,GROUND,2,450,100,100,80,60,60,50
222,Corsola,WATER,ROCK,2,380,55,55,85,65,85,35
223,Remoraid,WATER,,2,300,35,65,35,65,35,65
224,Octillery,WATER,,2,480,75,105,75,105,75,45
225,Delibird,ICE,FLYING,2,330,45,55,45,65,45,75
226,Mantine,WATER,FLYING,2,465,65,40,70,80,140,70
227,Skarmory,STEEL,FLYING,2,465,65,80,140,40,70,70
228,Houndour,DARK,FIRE,2,330,45,60,30,80,50,65
229,Houndoom (Mega Houndoom),DARK,FIRE,2,600,75,90,90,140,90,115
229,Houndoom,DARK,FIRE,2,500,75,90,50,110,80,95
230,Kingdra,WATER,DRAGON,2,540,75,95,95,95,95,85
231,Phanpy,GROUND,,2,330,90,60,60,40,40,40
232,Donphan,GROUND,,2,500,90,120,120,60,60,50
233,Porygon2,NORMAL,,2,515,85,80,90,105,95,60
234,Stantler,NORMAL,,2,465,73,95,62,85,65,85
235,Smeargle,NORMAL,,2,250,55,20,35,20,45,75
236,Tyrogue,FIGHTING,,2,210,35,35,35,35,35,35
237,Hitmontop,FIGHTING,,2,455,50,95,95,35,110,70
238,Smoochum,ICE,PSYCHIC,2,305,45,30,15,85,65,65
239,Elekid,ELECTRIC,,2,360,45,63,37,65,55,95
240,Magby,FIRE,,2,365,45,75,37,70,55,83
241,Miltank,NORMAL,,2,490,95,80,105,40,70,100
242,Blissey,NORMAL,,2,540,255,10,10,75,135,55
243,Raikou,ELECTRIC,,2,580,90,85,75,115,100,115
244,Entei,FIRE,,2,580,115,115,85,90,75,100
245,Suicune,WATER,,2,580,100,75,115,90,115,85
246,Larvitar,ROCK,GROUND,2,300,50,64,50,45,50,41
247,Pupitar,ROCK,GROUND,2,410,70,84,70,65,70,51
248,Tyranitar,ROCK,DARK,2,600,100,134,110,95,100,61
248,Tyranitar (Mega Tyranitar),ROCK,DARK,2,700,100,164,150,95,120,71
249,Lugia,PSYCHIC,FLYING,2,680,106,90,130,90,154,110
250,Ho-oh,FIRE,FLYING,2,680,106,130,90,110,154,90
251,Celebi,PSYCHIC,GRASS,2,600,100,100,100,100,100,100
